Epoch,Accuracy,Average Loss
0,10.0,2.3309128284454346
1,10.02,2.3140451908111572
2,10.8,2.304945230484009
3,12.24,2.2995645999908447
4,14.3,2.2959065437316895
5,16.31,2.2930796146392822
6,16.98,2.2907886505126953
7,17.38,2.288740634918213
8,17.35,2.286844491958618
9,17.85,2.2850329875946045
