Epoch,Accuracy,Average Loss
0,9.34,2.353221893310547
1,9.38,2.350184440612793
2,9.42,2.3472864627838135
3,9.57,2.3445682525634766
4,9.63,2.3420016765594482
5,9.74,2.339586019515991
6,9.76,2.337322473526001
7,9.79,2.3351876735687256
8,9.97,2.333143472671509
9,10.03,2.331230878829956
