Epoch,Accuracy,Average Loss
0,9.57,2.3381166458129883
1,9.56,2.3378994464874268
2,9.53,2.337686061859131
3,9.49,2.33746337890625
4,9.52,2.337252616882324
5,9.52,2.3370437622070312
6,9.5,2.3368306159973145
7,9.5,2.3366217613220215
8,9.5,2.3364155292510986
9,9.5,2.336211681365967
