Epoch,Accuracy,Average Loss
0,11.65,2.2879996299743652
1,21.09,2.272153615951538
2,24.48,2.258399724960327
3,26.45,2.245011329650879
4,28.05,2.2315516471862793
5,28.18,2.2177813053131104
6,27.9,2.2037384510040283
7,28.59,2.1894829273223877
8,28.41,2.1751317977905273
9,28.83,2.1609742641448975
